AAPL
['Date', 'Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']
['2023-08-03', '191.570007', '192.369995', '190.690002', '191.169998', '190.661011', '61235200']
['2023-08-04', '185.520004', '187.380005', '181.919998', '181.990005', '181.505463', '115799700']
['2023-08-07', '182.130005', '183.130005', '177.350006', '178.850006', '178.373810', '97576100']
['2023-08-08', '179.690002', '180.270004', '177.580002', '179.800003', '179.321274', '67823000']
['2023-08-09', '180.869995', '180.929993', '177.009995', '178.190002', '177.715561', '60378500']
['2023-08-10', '179.479996', '180.750000', '177.600006', '177.970001', '177.496155', '54686900']
['2023-08-11', '177.320007', '178.619995', '176.550003', '177.789993', '177.556076', '51988100']
['2023-08-14', '177.970001', '179.690002', '177.309998', '179.460007', '179.223892', '43675600']
['2023-08-15', '178.880005', '179.479996', '177.050003', '177.449997', '177.216522', '43622600']
['2023-08-16', '177.130005', '178.539993', '176.500000', '176.570007', '176.337692', '46964900']
['2023-08-17', '177.139999', '177.509995', '173.479996', '174.000000', '173.771072', '66062900']
['2023-08-18', '172.300003', '175.100006', '171.960007', '174.490005', '174.260422', '61114200']
['2023-08-21', '175.070007', '176.130005', '173.740005', '175.839996', '175.608643', '46311900']
['2023-08-22', '177.059998', '177.679993', '176.250000', '177.229996', '176.996811', '42084200']
['2023-08-23', '178.520004', '181.550003', '178.330002', '181.119995', '180.881699', '52722800']
['2023-08-24', '180.669998', '181.100006', '176.009995', '176.380005', '176.147934', '54945800']
['2023-08-25', '177.380005', '179.149994', '175.820007', '178.610001', '178.375000', '51449600']
['2023-08-28', '180.089996', '180.589996', '178.550003', '180.190002', '179.952927', '43820700']
['2023-08-29', '179.699997', '184.899994', '179.500000', '184.119995', '183.877747', '53003900']
['2023-08-30', '184.940002', '187.850006', '184.740005', '187.649994', '187.403107', '60813900']
['2023-08-31', '187.839996', '189.119995', '187.479996', '187.869995', '187.622818', '60794500']
['2023-09-01', '189.490005', '189.919998', '188.279999', '189.460007', '189.210739', '45732600']
['2023-09-05', '188.279999', '189.979996', '187.610001', '189.699997', '189.450409', '45280000']
['2023-09-06', '188.399994', '188.850006', '181.470001', '182.910004', '182.669342', '81755800']
['2023-09-07', '175.179993', '178.210007', '173.539993', '177.559998', '177.326385', '112488800']
['2023-09-08', '178.350006', '180.240005', '177.789993', '178.179993', '177.945557', '65551300']
['2023-09-11', '180.070007', '180.300003', '177.339996', '179.360001', '179.124008', '58953100']
['2023-09-12', '179.490005', '180.130005', '174.820007', '176.300003', '176.068039', '90370200']
['2023-09-13', '176.509995', '177.300003', '173.979996', '174.210007', '173.980789', '84267900']
['2023-09-14', '174.000000', '176.100006', '173.580002', '175.740005', '175.508789', '60895800']
['2023-09-15', '176.479996', '176.500000', '173.820007', '175.009995', '174.779724', '109205100']
['2023-09-18', '176.479996', '179.380005', '176.169998', '177.970001', '177.735840', '67257600']
['2023-09-19', '177.520004', '179.630005', '177.130005', '179.070007', '178.834396', '51826900']
['2023-09-20', '179.259995', '179.699997', '175.399994', '175.490005', '175.259109', '58436200']
['2023-09-21', '174.550003', '176.300003', '173.860001', '173.929993', '173.701157', '63047900']
['2023-09-22', '174.669998', '177.080002', '174.050003', '174.789993', '174.560013', '56725400']
['2023-09-25', '174.199997', '176.970001', '174.149994', '176.080002', '175.848328', '46172700']
['2023-09-26', '174.820007', '175.199997', '171.660004', '171.960007', '171.733749', '64588900']
['2023-09-27', '172.619995', '173.039993', '169.050003', '170.429993', '170.205750', '66921800']
['2023-09-28', '169.339996', '172.029999', '167.619995', '170.690002', '170.465424', '56294400']
['2023-09-29', '172.020004', '173.070007', '170.339996', '171.210007', '170.984741', '51814200']
['2023-10-02', '171.220001', '174.300003', '170.929993', '173.750000', '173.521393', '52164500']
['2023-10-03', '172.259995', '173.630005', '170.820007', '172.399994', '172.173172', '49594600']
['2023-10-04', '171.089996', '174.210007', '170.970001', '173.660004', '173.431519', '53020300']
['2023-10-05', '173.789993', '175.449997', '172.679993', '174.910004', '174.679871', '48527900']
['2023-10-06', '173.800003', '177.990005', '173.179993', '177.490005', '177.256485', '57224100']
['2023-10-09', '176.809998', '179.050003', '175.800003', '178.990005', '178.754501', '42390800']
['2023-10-10', '178.100006', '179.720001', '177.949997', '178.389999', '178.155289', '43698000']
['2023-10-11', '178.199997', '179.850006', '177.600006', '179.800003', '179.563431', '47551100']
['2023-10-12', '180.070007', '182.339996', '179.039993', '180.710007', '180.472244', '56743100']
['2023-10-13', '181.419998', '181.929993', '178.139999', '178.850006', '178.614685', '51427100']
['2023-10-16', '176.750000', '179.080002', '176.509995', '178.720001', '178.484863', '52517000']
['2023-10-17', '176.649994', '178.419998', '174.800003', '177.149994', '176.916916', '57549400']
['2023-10-18', '175.580002', '177.580002', '175.110001', '175.839996', '175.608643', '54764400']
['2023-10-19', '176.039993', '177.839996', '175.190002', '175.460007', '175.229156', '59302900']
['2023-10-20', '175.309998', '175.419998', '172.639999', '172.880005', '172.652542', '64189300']
['2023-10-23', '170.910004', '174.009995', '169.929993', '173.000000', '172.772385', '55980100']
['2023-10-24', '173.050003', '173.669998', '171.449997', '173.440002', '173.211807', '43816600']
['2023-10-25', '171.880005', '173.059998', '170.649994', '171.100006', '170.874893', '57157000']
['2023-10-26', '170.369995', '171.380005', '165.669998', '166.889999', '166.670425', '70625300']
['2023-10-27', '166.910004', '168.960007', '166.830002', '168.220001', '167.998672', '58499100']
['2023-10-30', '169.020004', '171.169998', '168.869995', '170.289993', '170.065933', '51131000']
['2023-10-31', '169.350006', '170.899994', '167.899994', '170.770004', '170.545319', '44846000']
['2023-11-01', '171.000000', '174.229996', '170.119995', '173.970001', '173.741104', '56934900']
['2023-11-02', '175.520004', '177.779999', '175.460007', '177.570007', '177.336380', '77334800']
['2023-11-03', '174.240005', '176.820007', '173.350006', '176.649994', '176.417572', '79763700']
['2023-11-06', '176.380005', '179.429993', '176.210007', '179.229996', '178.994186', '63841300']
['2023-11-07', '179.179993', '182.440002', '178.970001', '181.820007', '181.580780', '70530000']
['2023-11-08', '182.350006', '183.449997', '181.589996', '182.889999', '182.649368', '49340300']
['2023-11-09', '182.960007', '184.119995', '181.809998', '182.410004', '182.169998', '53763500']
['2023-11-10', '183.970001', '186.570007', '183.529999', '186.399994', '186.399994', '66133400']
['2023-11-13', '185.820007', '186.029999', '184.210007', '184.800003', '184.800003', '43627500']
['2023-11-14', '187.699997', '188.110001', '186.300003', '187.440002', '187.440002', '60108400']
['2023-11-15', '187.850006', '189.500000', '187.779999', '188.009995', '188.009995', '53790500']
['2023-11-16', '189.570007', '190.960007', '188.649994', '189.710007', '189.710007', '54412900']
['2023-11-17', '190.250000', '190.380005', '188.570007', '189.690002', '189.690002', '50922700']
['2023-11-20', '189.889999', '191.910004', '189.880005', '191.449997', '191.449997', '46505100']
['2023-11-21', '191.410004', '191.520004', '189.740005', '190.639999', '190.639999', '38134500']
['2023-11-22', '191.490005', '192.929993', '190.830002', '191.309998', '191.309998', '39617700']
['2023-11-24', '190.869995', '190.899994', '189.250000', '189.970001', '189.970001', '24048300']
['2023-11-27', '189.919998', '190.669998', '188.899994', '189.789993', '189.789993', '40552600']
['2023-11-28', '189.779999', '191.080002', '189.399994', '190.399994', '190.399994', '38415400']
['2023-11-29', '190.899994', '192.089996', '188.970001', '189.369995', '189.369995', '43014200']
['2023-11-30', '189.839996', '190.320007', '188.190002', '189.949997', '189.949997', '48794400']
['2023-12-01', '190.330002', '191.559998', '189.229996', '191.240005', '191.240005', '45679300']
['2023-12-04', '189.979996', '190.050003', '187.449997', '189.429993', '189.429993', '43389500']
['2023-12-05', '190.210007', '194.399994', '190.179993', '193.419998', '193.419998', '66628400']
['2023-12-06', '194.449997', '194.759995', '192.110001', '192.320007', '192.320007', '41089700']
['2023-12-07', '193.630005', '195.000000', '193.589996', '194.270004', '194.270004', '47477700']
['2023-12-08', '194.199997', '195.990005', '193.669998', '195.710007', '195.710007', '53377300']
['2023-12-11', '193.110001', '193.490005', '191.419998', '193.179993', '193.179993', '60943700']
['2023-12-12', '193.080002', '194.720001', '191.720001', '194.710007', '194.710007', '52696900']
['2023-12-13', '195.089996', '198.000000', '194.850006', '197.960007', '197.960007', '70404200']
['2023-12-14', '198.020004', '199.619995', '196.160004', '198.110001', '198.110001', '66831600']
['2023-12-15', '197.529999', '198.399994', '197.000000', '197.570007', '197.570007', '128256700']
['2023-12-18', '196.089996', '196.630005', '194.389999', '195.889999', '195.889999', '55751900']
['2023-12-19', '196.160004', '196.949997', '195.889999', '196.940002', '196.940002', '40714100']
['2023-12-20', '196.899994', '197.679993', '194.830002', '194.830002', '194.830002', '52242800']
['2023-12-21', '196.100006', '197.080002', '193.500000', '194.679993', '194.679993', '46482500']
['2023-12-22', '195.179993', '195.410004', '192.970001', '193.600006', '193.600006', '37122800']
['2023-12-26', '193.610001', '193.889999', '192.830002', '193.050003', '193.050003', '28919300']
['2023-12-27', '192.490005', '193.500000', '191.089996', '193.149994', '193.149994', '48087700']
['2023-12-28', '194.139999', '194.660004', '193.169998', '193.580002', '193.580002', '34049900']
['2023-12-29', '193.899994', '194.399994', '191.729996', '192.529999', '192.529999', '42628800']
['2024-01-02', '187.149994', '188.440002', '183.889999', '185.639999', '185.639999', '82488700']
['2024-01-03', '184.220001', '185.880005', '183.429993', '184.250000', '184.250000', '58414500']
['2024-01-04', '182.149994', '183.089996', '180.880005', '181.910004', '181.910004', '71983600']
['2024-01-05', '181.990005', '182.759995', '180.169998', '181.179993', '181.179993', '62303300']
['2024-01-08', '182.089996', '185.600006', '181.500000', '185.559998', '185.559998', '59144500']
['2024-01-09', '183.919998', '185.149994', '182.729996', '185.139999', '185.139999', '42841800']
['2024-01-10', '184.350006', '186.399994', '183.919998', '186.190002', '186.190002', '46792900']
['2024-01-11', '186.539993', '187.050003', '183.619995', '185.589996', '185.589996', '49128400']
['2024-01-12', '186.059998', '186.740005', '185.190002', '185.919998', '185.919998', '40444700']
['2024-01-16', '182.160004', '184.259995', '180.929993', '183.630005', '183.630005', '65603000']
['2024-01-17', '181.270004', '182.929993', '180.300003', '182.679993', '182.679993', '47317400']
['2024-01-18', '186.089996', '189.139999', '185.830002', '188.630005', '188.630005', '78005800']
['2024-01-19', '189.330002', '191.949997', '188.820007', '191.559998', '191.559998', '68741000']
['2024-01-22', '192.300003', '195.330002', '192.259995', '193.889999', '193.889999', '60133900']
['2024-01-23', '195.020004', '195.750000', '193.830002', '195.179993', '195.179993', '42355600']
['2024-01-24', '195.419998', '196.380005', '194.339996', '194.500000', '194.500000', '53631300']
['2024-01-25', '195.220001', '196.270004', '193.110001', '194.169998', '194.169998', '54822100']
['2024-01-26', '194.270004', '194.759995', '191.940002', '192.419998', '192.419998', '44594000']
['2024-01-29', '192.009995', '192.199997', '189.580002', '191.729996', '191.729996', '47145600']
['2024-01-30', '190.940002', '191.800003', '187.470001', '188.039993', '188.039993', '55859400']
['2024-01-31', '187.039993', '187.100006', '184.350006', '184.399994', '184.399994', '55467800']
['2024-02-01', '183.990005', '186.949997', '183.820007', '186.860001', '186.860001', '64885400']
['2024-02-02', '179.860001', '187.330002', '179.250000', '185.850006', '185.850006', '102518000']
